degree,duration,fitted,fraction,method,n_outcomes,name,ranking_error,uniform_noise,value_error_mean,value_error_std,white_noise
3,0.00031324848532676697,True,0.6666666666666666,differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.20198866311615196,0.039933426196496584,0.0
3,0.00028228573501110077,True,0.6666666666666666,differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5877795798599912,0.4628724752995085,0.0
3,0.0002912301570177078,True,0.6666666666666666,differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5121162655311232,0.35171142906604813,0.0
2,0.0009133629500865936,False,0.6666666666666666,constraints,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,,0.0,,,0.0
2,0.000828220508992672,True,0.6666666666666666,constraints,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7983859482798104,0.4339145950803109,0.0
2,0.0009107291698455811,True,0.6666666666666666,constraints,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,1.0,0.0,0.81849318387164,0.4667879261485791,0.0
3,0.001237628050148487,True,0.6666666666666666,constraints,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5023688944698234,0.33773424678346053,0.0
3,0.0013352148234844208,False,0.6666666666666666,constraints,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,,0.0,,,0.0
3,0.0013837125152349472,False,0.6666666666666666,constraints,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,,0.0,,,0.0
2,0.0002773599699139595,True,0.6666666666666666,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4727875008055557,0.2969645791541271,0.0
2,0.000256379134953022,True,0.6666666666666666,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.6314068572007648,0.2931350127377034,0.0
2,0.00025512930005788803,True,0.6666666666666666,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7591699661544229,0.4039705398801155,0.0
